GHGRP ID,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1007699,37.75448,-121.65651,ang20171006t191011-A,100,32
1007699,37.75645,-121.65736,ang20171006t191011-B,80,27
1007699,37.75668,-121.65688,ang20171006t191011-C,80,27
1007699,37.75556,-121.65523,ang20171006t191011-D,58,33
1007699,37.75285,-121.65606,ang20171006t191011-E,100,32
1007699,37.75408,-121.65636,ang20171006t191011-F,100,32
1007699,37.75286,-121.65666,ang20171006t191011-H,100,32
1007699,37.75252,-121.65626,ang20171006t191011-K,100,32
1007699,37.75344,-121.65533,ang20171006t191011-L,128,47
1007699,37.75696,-121.65262,ang20171006t191011-N,58,33
1006179,37.45825,-121.94126,ang20171006t213502-A,777,275
1006179,37.45932,-121.94299,ang20171006t213502-B,167,112
1006179,37.45775,-121.94499,ang20171006t213502-C,142,58
1006179,37.45946,-121.94697,ang20171006t213502-D,114,28
1007112,37.50221,-122.41101,ang20171006t215434-A,474,163
1007112,37.49839,-122.40765,ang20171006t215434-B,1160,480
1007112,37.50288,-122.41189,ang20171006t215434-C,429,163
1007112,37.50297,-122.41365,ang20171006t215434-D,490,167
1007112,37.50113,-122.41389,ang20171006t215434-E,623,208
1007112,37.50338,-122.41046,ang20171006t215434-F,302,122
1002992,34.436572,-118.65117,ang20200906t191856-A,558,96
1007112,37.49872,-122.41238,ang20171006t215434-G,431,250
1004550,36.70866,-121.76039,ang20171007t202134-A,66,23
1004550,36.71062,-121.76147,ang20171007t202134-B,471,142
1004550,36.71008,-121.75877,ang20171007t202134-C,165,103
1004550,36.70782,-121.75644,ang20171007t202134-E,97,37
1004550,36.70872,-121.75691,ang20171007t202134-F,121,55
1003679,34.32744,-118.5161,ang20200825t212944-A,550,278
1007128,36.52979,-121.40542,ang20171007t204208-A,57,24
1007128,36.52982,-121.40446,ang20171007t204208-B,98,34
1004743,34.405123,-118.99454,ang20200906t190951-A,546,271
1007128,36.53149,-121.40607,ang20171007t204208-C,52,17
1003679,34.33017,-118.51747,ang20171010t180512-A,295,169
1003679,34.32817,-118.52012,ang20171010t181011-A,177,106
1004743,34.4051074,-118.99514,ang20200804t213955-1,526,132
1003679,34.32656,-118.51716,ang20171010t181502-A,148,92
1003679,34.32666,-118.51714,ang20171010t181502-B,145,85
1003679,34.3281,-118.52022,ang20171010t190508-A,95,67
1003679,34.335147,-118.5191,ang20200708t192518-1,524,166
1003679,34.33456,-118.51933,ang20171010t191001-A,99,42
1003679,34.32562,-118.51385,ang20171010t191001-B,34,14
1003679,34.32857,-118.51114,ang20171010t191001-D,31,15
1006149,35.5082,-119.40716,ang20171010t204606-A,274,161
1006149,35.50856,-119.41064,ang20171010t204606-B,113,19
1007710,34.56867,-118.15364,ang20171012t174516-A,128,33
1002107,33.71585,-117.69817,ang20200830t202837-A,505,116
1004743,34.406694,-118.99218,ang20200720t200228-A,503,193
1003679,34.33468,-118.51928,ang20171016t175348-A,593,224
1003679,34.32547,-118.51546,ang20171016t175348-B,344,153
1004743,34.4066221,-118.99215,ang20200720t200228-1,495,181
1003679,34.32438,-118.50898,ang20171016t175348-C,578,221
1003679,34.32676,-118.51727,ang20171016t175805-A,63,20
1003679,34.32561,-118.51389,ang20171016t175805-B,88,27
1003679,34.32545,-118.51523,ang20171016t180222-A,118,21
1003679,34.33462,-118.51933,ang20171016t180222-B,334,83
1003679,34.3281,-118.52027,ang20171016t180708-B,91,22
1003679,34.32556,-118.51374,ang20171016t184829-A,146,29
1003679,34.33479,-118.51942,ang20171016t184829-B,559,203
